Timestamp,Visual,Aural,Read_Write,Kinesthetic
9/4/2013 21:59:34,8,7,8,5
9/4/2013 22:25:39,10,4,5,1
9/5/2013 16:41:20,2,3,6,5
9/4/2013 22:25:31,13,10,8,1
9/4/2013 23:48:06,4,3,11,4
9/4/2013 23:16:01,10,10,2,1
9/5/2013 0:34:26,9,8,10,1
9/30/2013 23:46:20,7,8,9,1
9/5/2013 0:20:20,10,7,11,7
9/26/2013 20:18:15,9,7,5,5
9/5/2013 0:12:55,4,4,7,1
9/4/2013 21:55:47,9,9,3,3
9/5/2013 9:58:54,6,5,7,5
9/5/2013 0:12:36,11,11,6,9
9/5/2013 0:42:52,7,11,4,8
9/4/2013 23:07:21,3,6,6,7
9/30/2013 22:02:12,9,10,10,9
9/5/2013 12:00:19,12,10,13,1
9/5/2013 9:43:34,6,4,7,5
9/4/2013 21:54:32,0,10,14,5
9/30/2013 22:31:25,9,11,3,8
9/4/2013 22:52:30,5,1,4,6
9/4/2013 22:36:10,15,9,6,1
9/5/2013 10:00:28,5,3,9,6
9/4/2013 21:48:39,3,5,4,7
10/1/2013 1:16:00,2,6,4,4
9/6/2013 22:17:11,1,4,4,7
9/5/2013 0:17:01,9,7,10,1
9/4/2013 22:09:21,8,1,8,5
9/4/2013 23:27:58,4,3,1,8
